,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
123412,1565580,171815672,2017-07-22,2017-07-22,1140,18,Southeast,1826,624,BATTERY - SIMPLE ASSAULT,0416 0913 1313,22.0,F,B,605.0,AUTOMATED TELLER MACHINE (ATM),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1600 E  103RD                        ST,,"(33.9485, -118.2461)"
58314,743521,131604399,2013-01-10,2013-01-10,2000,16,Foothill,1668,901,VIOLATION OF RESTRAINING ORDER,1814,51.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,901.0,,,,7600    THOUSAND OAKS                DR,,"(34.252, -118.298)"
123648,1060713,150716536,2015-10-30,2015-10-29,1800,7,Wilshire,769,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,1300    6TH                          AV,,"(34.0475, -118.323)"
28734,885039,141112768,2014-07-02,2014-07-02,1500,11,Northeast,1113,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,27.0,F,W,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,442.0,,,,2800    COLORADO                     BL,,"(34.1428, -118.226)"
157723,1536939,170809693,2017-05-04,2017-05-04,1035,8,West LA,805,310,BURGLARY,1202 0358 1605 0352 1221 0321,74.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,15500    AQUA VERDE                   DR,,"(34.1236, -118.4712)"
79848,1081658,151001058,2015-10-11,2015-10-11,1200,10,West Valley,1015,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1402 0329 0906,32.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,998.0,,,DARBY,SATICOY,"(34.2084, -118.5328)"
157956,463699,111613186,2011-07-12,2011-07-09,1330,16,Foothill,1668,440,THEFT PLAIN - PETTY ($950 & UNDER),0329 0351 0344,51.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,7100    SHADYGROVE                   ST,,"(34.2474, -118.2859)"
155743,3422,130111338,2013-04-28,2013-04-28,1300,1,Central,182,330,BURGLARY FROM VEHICLE,0386 0344 1607,30.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,12TH                         ST,GRAND                        AV,"(34.0402, -118.2633)"
73580,784101,132017605,2013-10-14,2013-10-14,430,20,Olympic,2022,900,VIOLATION OF COURT ORDER,0913 0361 0603 1202,73.0,F,W,510.0,NURSING/CONVALESCENT/RETIREMENT HOME,,,AA,Adult Arrest,900.0,,,,300 S  SAINT ANDREWS                PL,,"(34.069, -118.3116)"
130315,1506265,171600652,2017-03-05,2017-03-05,2045,16,Foothill,1642,237,CHILD NEGLECT (SEE 300 W.I.C.),1259 2002,,M,H,101.0,STREET,122.0,HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE,IC,Invest Cont,237.0,,,,13000    GOLETA                       ST,,"(34.2548, -118.4177)"
1334,1060040,150715198,2015-09-26,2015-09-25,1838,7,Wilshire,724,664,"BUNCO, PETTY THEFT",0344,14.0,X,X,727.0,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,664.0,,,,100    THE GROVE                    DR,,"(34.0761, -118.3563)"
77739,929680,141515343,2014-08-09,2014-08-09,730,15,N Hollywood,1567,624,BATTERY - SIMPLE ASSAULT,0416 2000 1202,60.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,10600    VALLEY SPRING                LN,,"(34.1468, -118.3615)"
94965,1197402,152112677,2015-07-11,2015-07-10,1600,21,Topanga,2157,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344,71.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,20500    OREY                         PL,,"(34.191, -118.5801)"
16720,1006859,150207077,2015-02-25,2015-02-24,1500,2,Rampart,261,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,24.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,700 S  CARONDELET                   ST,,"(34.0584, -118.281)"
135570,1504049,171510738,2017-04-26,2017-04-26,704,15,N Hollywood,1514,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6800    AGNES                        AV,,"(34.194, -118.3954)"
133607,1454732,170604125,2017-01-04,2017-01-03,2100,6,Hollywood,636,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000 1813 1814,33.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1800    WHITLEY                      AV,,"(34.1034, -118.3333)"
66762,421139,111213431,2011-05-14,2011-05-13,230,12,77th Street,1263,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0429 0444 2000 2002,35.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,8400 S  VAN NESS                     AV,,"(33.9627, -118.3178)"
119529,1430906,170106722,2017-02-13,2017-02-13,1500,1,Central,147,624,BATTERY - SIMPLE ASSAULT,0416,26.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,6TH                          ST,SAN PEDRO                    ST,"(34.0453, -118.2443)"
30371,216383,100208415,2010-03-19,2010-03-19,1200,2,Rampart,218,624,BATTERY - SIMPLE ASSAULT,0400 1206,22.0,F,W,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1100    GLENDALE                     BL,,"(34.0762, -118.2613)"
93528,793362,132118028,2013-11-07,2013-11-07,1400,21,Topanga,2155,320,"BURGLARY, ATTEMPTED",0314 1606,38.0,M,W,507.0,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,320.0,,,,22100    FUCHSIA                      CT,,"(34.1797, -118.6093)"
70102,1191908,152020155,2015-12-08,2015-12-07,230,20,Olympic,2056,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,SAN MARINO,CATALINA,"(34.0545, -118.2954)"
108097,1313575,161116205,2016-09-12,2016-09-10,1700,11,Northeast,1183,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0903 1300 0329,44.0,M,W,101.0,STREET,,,IC,Invest Cont,740.0,903.0,,,1600    LUCRETIA                     AV,,"(34.0825, -118.2554)"
